lon,lat,name,type
9.187701,45.473275,Fashion Café,cafe
9.188411,45.46407,Gran Caffè Visconteo,cafe
9.188422,45.464616,Bar Duomo,cafe
9.194378,45.464782,Pasticceria Fratelli Freni,bar
9.171075,45.476389,Old Wild West,restaurant
9.189291,45.457431,Al Mercato,restaurant
9.200076,45.478485,Piazza Repubblica,restaurant
9.172942,45.458893,C'è Lenti,cafe
9.173872,45.457004,La Playa di Taormina,restaurant
9.172862,45.457412,Vino bucatino guanciale pecorino,restaurant
9.174499,45.45635,Botega Cafè Cacao,cafe
9.207149,45.464183,Lab Milano,bar
9.193622,45.464608,Vanilla Gelati Italiani,cafe
9.195582,45.456367,Bar della Crocetta,cafe
9.180912,45.451963,Caffè Cherubini,cafe
9.181158,45.451955,Tvoì Vuòla,restaurant
9.18155,45.460182,Five Guys,fast food
9.182461,45.459616,Le Scimmiette,restaurant
9.184678,45.458642,Unknown name,cafe
9.204954,45.462993,La Gavetta,restaurant
9.172726,45.468407,Sugar Milano,cafe
9.191431,45.45104,Exotic,bar
9.205848,45.476313,One Love Bar,cafe
9.178302,45.479051,La cantina del Giannone,restaurant
9.201236,45.470971,Bar Nobile,cafe
9.200709,45.470476,Caffè della terra,cafe
9.194208,45.462307,Margy,fast food
9.181117,45.457514,Luca's Bar,bar
9.191571,45.48119,All'Opera,restaurant
9.185437,45.471459,Di Viole,cafe
9.190396,45.466303,Papà Francesco,restaurant
9.199201,45.46285,Mauro,restaurant
9.186413,45.480224,Vasinikò,restaurant
9.184031,45.465218,Dito Divino,bar
9.181017,45.457073,Panino LAB Colonne,fast food
9.191759,45.466124,Asiatico,fast food
9.186888,45.466183,Le Banque,restaurant
9.171765,45.457811,Ristorante X & C,restaurant
9.177902,45.450367,Antica Osteria Briosca,restaurant
9.178377,45.45187,Ciccio Pasticcio,restaurant
9.177937,45.453119,Caffè Viarenna,restaurant
9.177637,45.453112,Panino Giusto,fast food
9.177181,45.453319,Jin Zan,restaurant
9.177015,45.453435,Garam Masala,restaurant
9.181934,45.452916,Cacio e Pepe,restaurant
9.182696,45.452867,Shiva,restaurant
9.175451,45.451735,Locandina dei Navigli,restaurant
9.176596,45.45199,Spritz,bar
9.168641,45.456707,Capuano's,restaurant
9.175328,45.451702,Momo,bar
9.175218,45.451681,Ponte Rosso Trattoria,restaurant
9.176971,45.452045,Pizzeria Tradzionale Trattoria,restaurant
9.199183,45.465641,Caffè Borgogna,cafe
9.183824,45.482542,Cost,restaurant
9.184553,45.482648,Caffè su e giù,cafe
9.181926,45.483877,Enoteca Huaxia,restaurant
9.182693,45.483767,Dreams Cafè,cafe
9.184976,45.482557,Il Gusto della Nebbia,restaurant
9.172621,45.456693,Bar al 57,cafe
9.170352,45.458014,Spontini,restaurant
9.172331,45.456836,Acero,restaurant
9.180993,45.459309,Tasca,restaurant
9.180855,45.456452,Creperia Le colonne,cafe
9.181363,45.456167,Unknown name,bar
9.18117,45.45743,Grom,ice cream
9.181432,45.457757,Old Wild West,restaurant
9.202606,45.455366,Latteria 78,restaurant
9.181173,45.465397,La Colonna,restaurant
9.182883,45.465874,Meravigli Caffè,cafe
9.181047,45.465479,Dalla Pagnotta,restaurant
9.18716,45.463922,Carlo e Camilla in Duomo,restaurant
9.180808,45.4577,Rugantino,restaurant
9.18035,45.465764,AnticCùccá,cafe
9.174682,45.451868,el Brellìn ristorante,restaurant
9.18713,45.463668,Ottimo Massimo,cafe
9.191904,45.466039,Juice Bar,cafe
9.192085,45.466189,Ravizza,cafe
9.19197,45.466079,GB Bar,cafe
9.190242,45.467371,Voce Aimo e Nadia,restaurant
9.189289,45.475449,13 Giugno di Brera,restaurant
9.187564,45.482319,Rocking Horse,restaurant
9.186481,45.482674,Virigin Active Cafè,cafe
9.184865,45.48276,Shiki,restaurant
9.184332,45.465824,Galleria Meravigli Bistrot,cafe
9.187543,45.482247,Just,cafe
9.18722,45.482181,Pitbull,bar
9.192957,45.462198,Unknown name,cafe
9.193912,45.462323,Flash,restaurant
9.194469,45.462979,Gran Caffè Cimmino,cafe
9.194801,45.462625,Pokerbar,cafe
9.184501,45.466346,Caffé Sforzesco,cafe
9.17798,45.481653,L'incontro,cafe
9.196295,45.455733,Top del gelato,ice cream
9.188624,45.462938,Bar Mercurio,cafe
9.191189,45.465667,Spontini,fast food
9.191068,45.465668,Gino's,restaurant
9.19131,45.46849,Caffé dell'Opera,cafe
9.16688,45.455095,Pizzeria Gino Sorbillo,restaurant
9.16863,45.455626,Langosteria 10,restaurant
9.198605,45.453323,Unknown name,cafe
9.193977,45.464692,Mozzarella e basilico,restaurant
9.193817,45.46466,Replay,restaurant
9.191422,45.465901,Musubi,fast food
9.177552,45.450782,PS Cocktail & Beer,bar
9.175889,45.465705,Panini Durini,fast food
9.183973,45.463569,Cinque Vie,restaurant
9.18655,45.463876,Caffè Spadari,cafe
9.187267,45.484191,Brico Cafè,cafe
9.196867,45.482093,Ristorante La Piedra del Sol,restaurant
9.195378,45.466266,Salsamenteria di Parma,restaurant
9.18589,45.479439,Lato G,ice cream
9.185603,45.479102,La Piadineria,fast food
9.185828,45.478849,Alexander,restaurant
9.185573,45.479068,Max Café,cafe
9.185779,45.479308,Osteria Brunello,restaurant
9.185156,45.477702,Burgetr Italy,restaurant
9.181044,45.480605,Bar Ristorante Caffetteria Montello,cafe
9.18636,45.480051,Metro Cubo,cafe
9.186171,45.479794,Panino Giusto,fast food
9.186022,45.48081,O' Peperino e Milano,restaurant
9.182606,45.480659,Zushi,restaurant
9.185718,45.48086,Unknown name,restaurant
9.197758,45.475984,Il Chiosco di Pippo,cafe
9.186981,45.472269,L'Osteria di Brera,restaurant
9.186886,45.472245,Ristorante Nabucco,restaurant
9.186083,45.471784,Rosso di Brera,restaurant
9.185506,45.471719,Taverna del Borgo Antico,restaurant
9.189816,45.463548,Bistot Duomo,cafe
9.189441,45.456551,Bukowski Pub,bar
9.187529,45.455645,Good Morning Caffè,cafe
9.186415,45.460667,Bar Principe,bar
9.186407,45.460532,Alla collina pistoiese,restaurant
9.187918,45.458238,My Chef Briciole Bar,bar
9.18751,45.458277,Nicol,bar
9.187531,45.458076,Bio Pizza,restaurant
9.187468,45.457625,.jpeg,restaurant
9.187309,45.456151,Papas and Beer,restaurant
9.187323,45.456696,Caffè Italia,restaurant
9.186997,45.481477,California Bakery,restaurant
9.188413,45.46451,7's Gio',fast food
9.189985,45.483693,RED la Feltrinelli,cafe
9.184943,45.478392,Davai,bar
9.184626,45.478449,Osteria La Vecchia Lira,restaurant
9.184738,45.478424,Pandaneus,cafe
9.18436,45.478863,Verger,restaurant
9.183592,45.462983,Ristorante Santa Marta,restaurant
9.183676,45.46293,Trattoria Milanese,restaurant
9.194915,45.483028,Caffè del Principe,cafe
9.195113,45.480118,Tre Cristi,restaurant
9.192119,45.477215,Izakaya,restaurant
9.183721,45.468575,Unknown name,cafe
9.184189,45.471654,Obicà,restaurant
9.184506,45.471737,Torre di Pisa,restaurant
9.169663,45.458562,Unknown name,cafe
9.174087,45.462308,California Bakery,restaurant
9.172988,45.468213,Da Cenciaioli,restaurant
9.187183,45.464622,ILK,fast food
9.182565,45.459126,Gaina café,bar
9.18479,45.471563,Ristorante Toscano al Pozzo,restaurant
9.180745,45.453052,The Bagel Factory,restaurant
9.198976,45.454936,Pizzeria Il Faraone,restaurant
9.202965,45.474909,Tropical Island,bar
9.165276,45.46709,Kota-Radja,restaurant
9.182329,45.48522,Grani & Braci,restaurant
9.180214,45.453389,Home,restaurant
9.179345,45.453277,Mudra,restaurant
9.179228,45.453153,Trita,fast food
9.181012,45.457195,Farini,fast food
9.197771,45.469997,Quest'Osteria 這間冰室,fast food
9.191165,45.483016,Grom,ice cream
9.202043,45.465808,Unknown name,cafe
9.18698,45.484595,Meneghino,cafe
9.183208,45.475552,al  Matarel,restaurant
9.195257,45.473721,BLAH Bar,restaurant
9.204688,45.475335,McDonald's,fast food
9.159596,45.470787,Brand,restaurant
9.170535,45.480817,Ciripizza,restaurant
9.179327,45.451839,Kaneda,restaurant
9.18977,45.481998,Music Viga Bar,bar
9.188377,45.481973,AD Sushi and More,restaurant
9.187523,45.482139,Pixel Bar,bar
9.18751,45.48207,Ristorante Pizzeria All'Isola,restaurant
9.187133,45.481948,Caffè Novecento,cafe
9.187011,45.481528,Dom Cafè,bar
9.187468,45.48189,10 Corso Como,bar
9.187355,45.481558,Alla Cucina delle Langhe,restaurant
9.187294,45.481033,Blenderino,bar
9.187277,45.481275,Ganas,restaurant
9.18733,45.481486,Maf Bar,bar
9.187392,45.481673,Pizzeria di Porta Garibaldi,restaurant
9.187988,45.480978,Miami Lounge Bar,bar
9.18786,45.48098,Sakura,restaurant
9.188129,45.480973,The Prime,restaurant
9.180495,45.452825,LeTrottoir,bar
9.173471,45.451656,Alzaia 26,restaurant
9.17265,45.451511,Bella Riva,restaurant
9.164718,45.466319,Starbucks,cafe
9.159764,45.466679,Torrefazione Vercelli,cafe
9.175395,45.452101,Al Coniglio Bianco,restaurant
9.173997,45.451768,L'Altro Luca e Andrea,restaurant
9.175921,45.452144,Posto di Conversazione,restaurant
9.176427,45.452263,Premiata Pizzeria di Vincenzo,restaurant
9.17683,45.452026,Sofa Café,bar
9.175513,45.451745,Straripa Bar,bar
9.176119,45.451874,Twist on Classic,bar
9.173327,45.455516,Al Porto,restaurant
9.182533,45.46759,Istanbul Ayasofya,fast food
9.178913,45.467857,Majestic,cafe
9.180043,45.467754,Caffè Teatro Foro Buonaparte,cafe
9.18098,45.467893,Gran Caffè al Foro,cafe
9.1816,45.468159,Van Bol & Feste,ice cream
9.185382,45.469462,Wasabi,restaurant
9.185153,45.470063,Caffè del Carmine,cafe
9.184982,45.471593,Noor,bar
9.184013,45.47383,Libreria del Mondo Offeso,fast food
9.184054,45.476722,California Bakery,fast food
9.183427,45.473592,Osteria del Batti Batti,restaurant
9.185529,45.471932,Ristorante Il Cestino,restaurant
9.184255,45.476456,Jupito Caffè,cafe
9.161232,45.464216,Green Bar,cafe
9.181645,45.466982,Brasserie Da Lorenzo,cafe
9.199413,45.455977,Gradisca Pub,restaurant
9.172106,45.468872,Chiù,restaurant
9.17132,45.46948,Cecco,restaurant
9.184079,45.481788,Antica Trattoria della Pesa,restaurant
9.186226,45.482818,La Griglia di Varrone,restaurant
9.185277,45.46868,Giusto Gusto,cafe
9.184691,45.466205,Venchi,ice cream
9.183312,45.467266,Caffè Dante,cafe
9.183227,45.467655,McDonald's,fast food
9.183116,45.467739,Café de Ville,cafe
9.196859,45.466984,Top Undici,cafe
9.170283,45.453025,Gelateria Porta Genova,ice cream
9.170253,45.453792,Chicchi e Bacche,cafe
9.19841,45.46564,Rossopomodoro,restaurant
9.198453,45.465668,Starbucks,cafe
9.187436,45.463206,Granaio Caffè e cucina,restaurant
9.191264,45.465244,Straf Bar,bar
9.187357,45.464205,Panini Durini,cafe
9.187279,45.46427,Frankly Bubble Tea & Coffee,cafe
9.181269,45.467407,Quattro Mori,restaurant
9.181472,45.468355,Farinella,restaurant
9.191578,45.468869,Manzoni Romantic Cafè,restaurant
9.192489,45.470407,Emporio Armani Cafè,cafe
9.196934,45.466045,Five Guys,fast food
9.197141,45.464769,Unknown name,cafe
9.197414,45.465549,Passarella Café,cafe
9.193507,45.464781,Bar Madonnina,cafe
9.195388,45.465305,Le tre gazzelle,cafe
9.193009,45.464553,Unknown name,cafe
9.186975,45.463806,Green Station,restaurant
9.186834,45.463686,Ciacco,ice cream
9.195876,45.465858,Ristorante e Bistrot San Carlo,restaurant
9.185365,45.471913,Petrus,restaurant
9.199203,45.466875,Max Bar,cafe
9.198725,45.466697,Caffè Rivoli,cafe
